"Área";"Responsável";"Indicador";"Impacto DIRETO";"Tipo N";"Meta";"Resultado";"Mês texto";"Ano";"Status";"Comentários";"Ações"
"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.930232558139535";"Maio";"2025";"Ñ Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.947521865889213";"Junho";"2025";"Ñ Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.950437317784257";"Julho";"2025";"Ñ Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.950867052023121";"Agosto";"2025";"Ñ Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.953757225433526";"Setembro";"2025";"Ñ Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.982758620689655";"Outubro";"2025";"Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"1";"Novembro";"2025";"Atingido";"N/A";"N/A"

"SGA";"Diogo Rosa";"Performance do Atendimento as Obrigações Legais Mês​";"Conformidade Legal";"N3";"0.98";"0.994301994301994";"Dezembro";"2025";"Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"1";"Janeiro";"2025";"Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.222222222222222";"Fevereiro";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.375";"Março";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.111111111111111";"Abril";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.384615384615385";"Maio";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.833333333333333";"Junho";"2025";"Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.333333333333333";"Julho";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.4";"Agosto";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.222222222222222";"Setembro";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.714285714285714";"Outubro";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.3";"Novembro";"2025";"Ñ Atingido";"N/A";"N/A"

"SGI";"Diogo Rosa";"Quantidade e percentual de NC's encerradas dentro do prazo";"Conformidade Legal";"N3";"0.8";"0.222222222222222";"Dezembro";"2025";"Ñ Atingido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"8740";"Janeiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"13200";"Fevereiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"12070";"Março";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"18300";"Abril";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"15240";"Maio";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"12890";"Junho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"16310";"Julho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"19040";"Agosto";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"19980";"Setembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"20990";"Outubro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"16980";"Novembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos de Sucata​";"PGRS";"N3";"S/ Meta";"12580";"Dezembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"0";"Janeiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"3000";"Fevereiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"2300";"Março";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"3000";"Abril";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"1500";"Maio";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"0";"Junho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"1900";"Julho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"4100";"Agosto";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"0";"Setembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"2500";"Outubro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"2000";"Novembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Sólidos Contaminados​";"PGRS";"N3";"S/ Meta";"0";"Dezembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"376";"Janeiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"747";"Fevereiro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"419";"Março";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"527";"Abril";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"544";"Maio";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"355";"Junho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"590";"Julho";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"657";"Agosto";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"450";"Setembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"335";"Outubro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"332";"Novembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Resíduos";"Jorge Lanzoni";"Geração de Resíduos Líquidos Contaminados";"PGRS";"N3";"S/ Meta";"252.5";"Dezembro";"2025";"Indefinido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.95";"Janeiro";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.9557";"Fevereiro";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.9423";"Março";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.95614";"Abril";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"1";"Maio";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.96";"Junho";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.95";"Julho";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.95";"Agosto";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.86";"Setembro";"2025";"Ñ Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.9505";"Outubro";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.97";"Novembro";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Acuracidade de Estoque";"Salário Variável";"N2/N3";"0.94";"0.9571";"Dezembro";"2025";"Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Percentual e Valores de Itens sem movimentação de Estoque a mais de um ano​";"Custo de Estoque";"N2/N3";"0.02";"0.0477810199063994";"Janeiro";"2025";"Ñ Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Percentual e Valores de Itens sem movimentação de Estoque a mais de um ano​";"Custo de Estoque";"N2/N3";"0.02";"0.0463524273965566";"Fevereiro";"2025";"Ñ Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Percentual e Valores de Itens sem movimentação de Estoque a mais de um ano​";"Custo de Estoque";"N2/N3";"0.02";"0.0498104644099734";"Março";"2025";"Ñ Atingido";"N/A";"N/A"

"Gestão de Materiais";"Jesiel Lima";"Percentual e Valores de Itens sem movimentação de Estoque a mais de um ano​";"Custo de Estoque";"N2/N3";"0.02";"0.0612061707253795";"Abril";"2025";"Ñ Atingido";"N/A";"N/A"

